formula,target
Li2B1Pd3,False
Ca0.1Ba1.65Nd1.25Cu3O7.03,False
Sr1Fe1.7Ni0.3As2,False
Co1Te1,False
Gd0.65Ca0.2Hf0.15Ba2Cu3O6.96,True
Ta25Ti75,False
Ba1C6,False
La2Cu1O4.093,True
Sb0.236V0.764,False
C3Ho0.6Th1.4,False
Ce1Rh0.35Co0.65In5,False
Ho1Rh3Ru1B4,False
Pr1.85Sr0.15Cu1O4,False
Nd1.5Ba1.3Sr0.2Cu3O6.978,False
Tl2Ba2Cu1O6.16,True
Pr1.8Ce0.2Cu1O4,False
Mg0.5Co0.5B2,True
O2Pb1,False
Y1Ba2Cu2.745Fe0.255O7.08,True
Tl2Ba2Ca1Cu2O7.958,True
Y3Dy2Os4Ge10,False
Ru8Zr92,False
Sr4V3O9.49,False
Sr1Fe2As1.22P0.78,True
Sr1Fe1.92Ni0.08As2,False
Fe1Sr2Gd1Cu2O7.58,True
Pb0.6Cu0.4Sr0.8La1.2Cu1O5.06,True
Al1B2,False
La0.93Nd0.07Pt1Si1,False
Hf0.32Ta0.68,False
Zr2Co0.85Ni0.15,False
Nd0.7Pr0.3Ba2Cu3O6.85,False
Y0.985Ca0.015Ba2Cu3O6.98,True
Ce2Pd3Ge5,False
Th1Pt3B1,False
Na0.28O3W1,False
La1.9Gd1.1Ca1Ba2.4Sr0.6Cu6.58In0.42O16.554,True
Ba1Fe2As1.3P0.7,True
Y1Ba2Cu2.9Zn0.1O6.88,False
Sm1Rh3B2,False
Y1Ba2Cu3O6.61,True
La1Bi1S2F0.5O0.5,False
Cu1Mo6Se8,False
Er1Rh2Ir2B4,False
Y1Ba2Cu2.8Zn0.2OY,True
B2Nb0.5,False
Y2C2Br0.5I1.5,True
Bi1.6Sr0.4Yb1Cu3O6.35,True
Ag1Zn1,False
Bi1,False
La1Ni1Si1,False
Mn1Ni1Zr1,False
Mo6Se6Br2,False
Tl1Ba0.3Sr0.7La1Cu1O5,True
Nb0.7Ru0.3,False
Fe0.1Zr0.9,False
Ir0.37Nb0.63,False
Y0.5Pr0.5Ba1Sr1Cu3O6.9,True
Pr0.96La1Ce0.04Cu1O4,False
Tm1Ni1.9Fe0.1B2C1,False
Lu0.4Dy0.6Ni2B2C1,False
Mo0.62Re0.38,True
Nb3Sn0.9In0.1,True
Pt1Ta1,False
Na0.59Zr1N1Cl1,True
La1Pd2As2,False
B3Be1.09,False
Ga6Gd1,False
Y1Ba1.4Sr0.6Cu3O6.8,True
Pb2Sr2Y0.5Ca0.5Cu3F0.8115O7.3458,True
Pb3Sr2Cu3Cl0.5Br0.5O8,False
I4Sn1,False
Rh0.005Ti0.995,False
Al0.72Nb3.28,False
Nb0.9Mg0.1B2,False
Y0.9Ca0.1Ba2Cu3O6.98,True
Ce1Pd0.75Al3.25,False
Cu3Ga1,False
Bi0.4Sn0.6,False
Y1.8Nb0.2C2.7,True
La0.996Gd0.004Al2,False
La1Fe0.99975Mn0.00025As1F0.11O0.89,True
Ag1S1,False
Nb80Ga15Mn5,False
Nb25Zr75,False
Hf1V2H0.4,False
Nb1Se2,False
Y1.2Th0.8C2.7,True
Nb2.25V0.75Au1,False
V2.928Re0.072Ga1,True
Ir1Nb3,False
Ru1S2,False
Ho1Rh0.8Ir3.2B4,False
Eu0.4Pr0.6Ba2Cu3O7,False
Ru0.8Sn0.2Sr2Eu1Cu2O8,True
Hg1Ba2Ca2Cu3O8.29,True
Mg7Zn3,False
Gd1.55Pr0.3Ce0.15Cu1O4,False
Eu0.51K0.49Fe2As2,True
Be3Cu1,False
Pr0.9Sr0.1Fe1As1O1,True
Sm1Ba2Cu2.6Zn0.4O6.9,False
Eu1.8Pr0.2Ba4Cu7O14.779,True
La2.4Ba3.6Cu6O14.01,True
Y0.74Gd0.26Ni2B2C1,False
Y0.2Pr0.8Ba1Sr1Cu3O6.95,False
Nb25Ti30Zr45,False
Ag2F1,False
Nb78Ga16Mn6,False
B5Nb1.8Th0.2,False
Y0.8Ca0.05Pr0.15Ba2Cu3O6.95,True
Ag0.7Mo3Se4,False
La1.8Sr0.2Cu0.985Ni0.015O4,False
Pt5Th3,False
Pr1.11Gd0.74Ce0.15Cu1O4,True
Y1Ba2Cu2.64Co0.36O7.03,True
Y1Ba1Sr1Cu3O6.83,True
B6Sm1,False
Ce1Co0.925Ni0.075In5,False
La3Ca0.9Cd0.1Ba3Cu7O16.611,True
La1Ru4Sb12,False
Zr2Co0.7Cu0.3,False
Nb3Sn0.49Ga0.51,True
Pb1Ti1S3,False
Bi1.5Pb0.5Sr1.7La0.3Cu1O5.993,True
Os0.046Re0.954,False
Ca0.4La1.25Ba1.35Cu3O6.99,True
Tb1Ba2Cu3S1O6,False
Bi1.95Sr1.65La0.4Cu1O6.28,True
Ho1Pd2P2,False
Y1Ba1.9La0.1Cu4O7.8,True
Dy1Ba1.97Cu3.06O7,True
Mo0.9V0.1C1,True
Nd0.74Gd1.11Ce0.15Cu1O4,True
Cr0.28Ir0.72,False
Ta0.36Ti0.64,False
Y0.7Ca0.3Ba2Cu3O6.87,True
Pb0.7Hg0.3Sr4Cu2C1O10,True
Sc1Rh2Sn1,False
Ce1Fe0.74Co0.26As1H1,False
Fe0.45Co0.45Al0.1,False
