formula,target
Li2Be1H4,0.0
Li1Be1H3,0.0
H4Si1,17.0
Li0.9Mg0.1,11.0
Be0.95Pt0.005,0.0
Be0.957Re0.043,9.645
Be0.96Ni0.04,5.13
Be0.977Fe0.023,0.0
Be0.98Re0.02,9.6
Be0.99Re0.01,9.25
Be1,3.1065
Be9.8Re0.02,9.5
Be13Mg1,0.0
Al1Be13,0.0
B12Li2.5,6.62
B2Be1,0.0
B2.75Be1,0.755
B3Be1.09,0.72
B12Li1.7,7.05
Li0.78B1C1,0.0
Be49Rh1,0.0
Al0.1Be0.9,7.2
C2Li1,1.9
B1,8.5
B105,1.5
Be0.95Fe0.05,0.0
Be13Ca1,0.0
C22H14K2.9,7.0
Be22Ga1,5.7
B4C1,0.0
Li0.25B1C1,0.0
Be0.944Co0.056,0.0
C22H14K3.3,18.0
Be13Mn1,0.0
Be12Cr1,0.0
Be0.934Ni0.066,0.88
Be12Mn1,0.0
Be22Mo1,2.5275
Be22Tc1,5.21
Be22Ru1,0.0
Be12Co1,0.0
Be22Rh1,0.0
Be22Pd1,0.0
Mg0.5Li0.5B2,0.0
Be11Fe1,0.0
C14H10Sr1.5,5.6
Be13Ga1,5.6
B2.8C97.2,4.0
Be0.95Ru0.05,1.47
Be0.92Cu0.08,0.84
Be13Ge1,0.0
Na4H4C60,15.0
Li2Na1N1C60,12.0
B0.048C0.952,6.6
B0.015C0.985,12.0
C,7.4
C70,7.0
B1N1,0.0
N4H12Na2Cs1C60,29.6
Be0.95Rh0.05,0.0
Na1N1C60,14.7
Be16Zr1,0.0
Mg1.9Cu0.1B12,37.3
Be22Mo0.6Re0.4,8.3
B12Sc1,0.39
Mg1.8Cu0.2B12,36.5
Na3N1C60,14.7
N1H3Na1K2C60,8.0
Na3.5N0.5C60,14.7
N0.87H2.61Na1K2C60,11.0
N0.85H2.55Na1K2C60,9.0
N0.84H2.52Na1K2C60,13.0
N0.75H2.25Na1K2C60,11.8
Be8Mn1,0.0
Na2K1C60,2.5
K3N1H3C60,28.0
N1H3K3C60,0.0
Be0.9Ni0.1,1.48
B2Mg0.5,36.0
Mg0.7Li0.3B2,31.55
Be13Y1,0.0
N0.72H2.16Na1K3C60,12.0
Be22Mo0.4Re0.6,8.6
C24K1,0.0
Mg0.7Be0.3B2,39.0
Be13Zr1,0.0
Mg0.75Li0.25B2,33.7
B2Mg0.6,36.9
K3C60,0.0
Na2Rb1C60,1.966666667
Be22Mo0.3Re0.7,8.6
C22H14Rb3.1,6.9
Li2Cs1C60,12.0
Al0.3Be0.7,6.5
Be13Mo1,0.0
Na2Rb0.75Cs0.25C60,5.2
C60P2F12,0.0
Mg0.55Al0.225Li0.225B2,25.6
Mg0.8Li0.2B2,34.0
Na2Cs0.75C60,7.0
Be0.89Cu0.11,1.11
Rb3C60C60,29.0
C16K1,0.0
K2.75Ba0.25C60,15.0
Na2Rb0.5Cs0.5C60,8.2
Mg0.6Li0.2Al0.2B2,0.0
N0.93H2.79Na1Rb2C60,8.5
B2Mg0.7,37.2
N0.9H2.7Na1Rb2C60,12.1
N0.86H2.58Na1Rb2C60,12.0
N0.8H2.4Na1Rb2C60,15.2
Na2Cs0.88C60,8.3
Be12Nb1,0.0
Be13Ru1,1.3
N0.74H2.22Na1Rb2C60,17.0
Na2Rb0.25Cs0.75C60,9.4
Mg0.65Al0.175Li0.175B2,30.7
Na2Cs0.93C60,9.6
Mg0.85Li0.15B2,36.6
K2Rb1C60,22.4
N1H3K1Rb2C60,0.0
Be12Mo1,0.0
Be13Rh1,0.0
Mg0.7Li0.15Al0.15B2,25.1
Mg0.7Al0.15Li0.15B2,28.55
Na2Cs1C60,11.32857143
C14H10Ba1.5,5.4
C8K1H0.67,0.0
Be13Pd1,0.0
Be8Ga1,5.7
B2Mg0.8,38.0
C60Rb2,29.0
C0.9S0.1,36.5
Mg0.89Li0.11B2,35.3
Mg0.815Al0.024B2,35.0
Mg0.9Li0.1B2,36.91666667
Mg0.89Li0.11B1.88C0.12,29.9
Be22W1,4.12
Be22Re0.99Ru0.01,9.2
Mg0.8Al0.1Li0.1B2,31.475
C60Ca5,8.4
Be22Re0.95W0.05,9.45
Be22Os0.005Re1,9.655
Be22Re0.95Os0.05,9.2
Mg0.9Li0.1B1.82C0.18,28.5
Mg0.92Li0.08B2,38.0
Mg0.91Li0.09B1.84C0.16,30.15
Mg0.93Li0.07B2,37.8
C6Ca1H,10.0
Be22Os1,0.0
Mg1B1.4Be0.6,8.3
B6Ca1,0.0
B0.69Mg0.31,5.7
B2Mg0.9,38.2
N1H3Rb3C60,0.0
Mg0.94Li0.06B1.96C0.04,35.6
Mg0.95Li0.05B2,38.25
K1Rb2C60,26.2
K2Cs1C60,24.0
Mg0.9Al0.05Li0.05B2,37.45
Mg1B1.6Be0.4,20.9
Mg0.815Al0.09B2,32.7
Mg0.815Al0.092B2,32.0
C60As2F12,0.0
Be12Pd1,0.0
Mg1B1.7Be0.3,32.9
C3Na1,2.3
Mg0.95Al0.025Li0.025B2,38.2
Mg0.956Al0.044B2,34.0
Mg0.8Na0.2B2,38.0
Mg1B1.8Be0.2,36.0
Mg0.96Mn0.04B2,32.3
Mg0.85Na0.15B2,38.0
Mg0.97Al0.03B2,36.75
Mg0.978Al0.022B2,34.7
B2Mg0.98,36.7
Mg0.982Cu0.018B2,37.8
Mg0.93Na0.07B2,38.0
B0.67Mg0.33,6.1
C8K1H0.19,0.22
B2Mg0.988Sc0.012,37.425
Mg0.989Cu0.011B2,38.05
Mg0.99Al0.01B2,36.3
Mg0.994Fe0.006B2,35.6
Mg0.996Cu0.004B2,38.11
Mg0.997Fe0.003B2,37.8
Mg1B1.9906C0.0094,38.5
Mg1B1.98C0.02,37.53333333
Mg1B1.95C0.05,36.0
Mg0.95Al0.05B2,36.46666667
Mg0.94Al0.06B2,37.0
Mg1B1.938C0.062,37.0
Mg0.93Al0.07B2,35.8
Mg1B1.968C0.032,37.0
Mg1B1.924C0.076,35.78
Mg1B1.92C0.08,38.3
Mg0.92Al0.08B2,33.55
Mg0.915Al0.085B2,32.4
Mg0.91Al0.09B2,34.7
Mg1B1.96C0.04,33.125
Mg1B1.904C0.096,35.5
Mg1B1.958C0.042,37.7
Mg1B1.9C0.1,32.84363636
Mg0.9Al0.1B2,34.3
Mg1B1.896C0.104,35.0
Mg1B1.89C0.11,33.85
Mg1B1.88C0.12,32.9
Mg1B1.874C0.126,33.3
Mg1B1.87C0.13,28.0
Mg1B1.868C0.132,33.15
Mg0.86Al0.14B2,35.1
Mg0.85Al0.15B2,31.5
Mg0.815Al0.18B2,25.7
Mg1B1.84C0.16,33.0
Mg1B1.834C0.166,32.0
Mg1B1.826C0.174,30.8
Mg0.815Al0.185B2,25.3
Mg0.81Al0.19B2,30.8
Mg1B1.81C0.19,30.335
Mg0.8Al0.2B2,28.71
Mg1B1.792C0.208,25.5
Mg0.79Al0.21B2,27.1
Mg0.75Al0.25B2,30.2
Mg1B1.736C0.264,17.6
C8.1K1,0.152
Mg0.71Al0.29B2,24.0
Mg1B1.92F0.08,21.0
C8K1,0.152375
