formula,target
H4Si1,17.0
Li0.9Mg0.1,11.0
C22H14K3.3,18.0
Na4H4C60,15.0
Li2Na1N1C60,12.0
B0.015C0.985,12.0
N4H12Na2Cs1C60,29.6
Na1N1C60,14.7
Mg1.9Cu0.1B12,37.3
Mg1.8Cu0.2B12,36.5
Na3N1C60,14.7
Na3.5N0.5C60,14.7
N0.87H2.61Na1K2C60,11.0
N0.84H2.52Na1K2C60,13.0
N0.75H2.25Na1K2C60,11.8
K3N1H3C60,28.0
B2Mg0.5,36.0
Mg0.7Li0.3B2,31.55
N0.72H2.16Na1K3C60,12.0
Mg0.7Be0.3B2,39.0
Mg0.75Li0.25B2,33.7
B2Mg0.6,36.9
Li2Cs1C60,12.0
Mg0.55Al0.225Li0.225B2,25.6
Mg0.8Li0.2B2,34.0
Rb3C60C60,29.0
K2.75Ba0.25C60,15.0
B2Mg0.7,37.2
N0.9H2.7Na1Rb2C60,12.1
N0.86H2.58Na1Rb2C60,12.0
N0.8H2.4Na1Rb2C60,15.2
N0.74H2.22Na1Rb2C60,17.0
Mg0.65Al0.175Li0.175B2,30.7
Mg0.85Li0.15B2,36.6
K2Rb1C60,22.4
Mg0.7Li0.15Al0.15B2,25.1
Mg0.7Al0.15Li0.15B2,28.55
Na2Cs1C60,11.32857143
B2Mg0.8,38.0
C60Rb2,29.0
C0.9S0.1,36.5
Mg0.89Li0.11B2,35.3
Mg0.815Al0.024B2,35.0
Mg0.9Li0.1B2,36.91666667
Mg0.89Li0.11B1.88C0.12,29.9
Mg0.8Al0.1Li0.1B2,31.475
Mg0.9Li0.1B1.82C0.18,28.5
Mg0.92Li0.08B2,38.0
Mg0.91Li0.09B1.84C0.16,30.15
Mg0.93Li0.07B2,37.8
B2Mg0.9,38.2
Mg0.94Li0.06B1.96C0.04,35.6
Mg0.95Li0.05B2,38.25
K1Rb2C60,26.2
K2Cs1C60,24.0
Mg0.9Al0.05Li0.05B2,37.45
Mg1B1.6Be0.4,20.9
Mg0.815Al0.09B2,32.7
Mg0.815Al0.092B2,32.0
Mg1B1.7Be0.3,32.9
Mg0.95Al0.025Li0.025B2,38.2
Mg0.956Al0.044B2,34.0
Mg0.8Na0.2B2,38.0
Mg1B1.8Be0.2,36.0
Mg0.96Mn0.04B2,32.3
Mg0.85Na0.15B2,38.0
Mg0.97Al0.03B2,36.75
Mg0.978Al0.022B2,34.7
B2Mg0.98,36.7
Mg0.982Cu0.018B2,37.8
Mg0.93Na0.07B2,38.0
B2Mg0.988Sc0.012,37.425
Mg0.989Cu0.011B2,38.05
Mg0.99Al0.01B2,36.3
Mg0.994Fe0.006B2,35.6
Mg0.996Cu0.004B2,38.11
Mg0.997Fe0.003B2,37.8
Mg1B1.9906C0.0094,38.5
Mg1B1.98C0.02,37.53333333
Mg1B1.95C0.05,36.0
Mg0.95Al0.05B2,36.46666667
Mg0.94Al0.06B2,37.0
Mg1B1.938C0.062,37.0
Mg0.93Al0.07B2,35.8
Mg1B1.968C0.032,37.0
Mg1B1.924C0.076,35.78
Mg1B1.92C0.08,38.3
Mg0.92Al0.08B2,33.55
Mg0.915Al0.085B2,32.4
Mg0.91Al0.09B2,34.7
Mg1B1.96C0.04,33.125
Mg1B1.904C0.096,35.5
Mg1B1.958C0.042,37.7
Mg1B1.9C0.1,32.84363636
Mg0.9Al0.1B2,34.3
Mg1B1.896C0.104,35.0
Mg1B1.89C0.11,33.85
Mg1B1.88C0.12,32.9
Mg1B1.874C0.126,33.3
Mg1B1.87C0.13,28.0
Mg1B1.868C0.132,33.15
Mg0.86Al0.14B2,35.1
Mg0.85Al0.15B2,31.5
Mg0.815Al0.18B2,25.7
Mg1B1.84C0.16,33.0
Mg1B1.834C0.166,32.0
Mg1B1.826C0.174,30.8
Mg0.815Al0.185B2,25.3
Mg0.81Al0.19B2,30.8
Mg1B1.81C0.19,30.335
Mg0.8Al0.2B2,28.71
Mg1B1.792C0.208,25.5
Mg0.79Al0.21B2,27.1
Mg0.75Al0.25B2,30.2
Mg1B1.736C0.264,17.6
Mg0.71Al0.29B2,24.0
Mg1B1.92F0.08,21.0
Mg0.95Ti0.05B2,38.5
Mg0.5Al0.5B2,12.9
Mg1B1.5C0.5,27.25
Mg1B1.4C0.6,19.45
Mg1B1.84F0.16,16.0
Mg0.95Mn0.05B2,30.0
Mg0.31Al0.69B2,11.1
Mg0.95Fe0.05B2,29.5
Mg0.95Cu0.05B2,37.75
Mg0.95Zn0.05B2,38.3
Mg0.9Zn0.05Al0.05B2,38.5
Mg0.9Ti0.1B2,38.3
Mg0.88Sc0.12B2,30.0
Cs1Rb2C60,31.075
Mg0.9Fe0.1B2,34.0
Mg0.95Zr0.05B2,37.7
Mg0.9Co0.1B2,34.5
Mg0.9Cu0.1B2,38.6
Mg0.9Zn0.1B2,38.4
C60Rb4,29.0
Mg0.8Zn0.1Al0.1B2,34.0
C6Ca1,11.303
Mg0.8Ti0.2B2,37.8
Y1Ba2Cu3O6050,22.0
Cs2Rb1C60,33.0
Mg0.9Zr0.1B2,37.3
Mg0.7Zn0.15Al0.15B2,28.6
Bi1.6Pb0.4Sr2Cu3Ca2O1013,102.0
Mg0.8Cu0.2B2,38.6
Mg0.983Al0.017B1,35.9
Mg1.98Mn0.02B2,36.9
Mg1.985Mn0.015B2,37.4
Mg1.99Mn0.01B2,37.6
Mg1.995Mn0.005B2,37.7
Mg0.75Fe0.25B2,32.0
Mg0.8Zn0.2B2,38.4
Mg0.927Al0.073B1,33.0
Mg1B0.9C0.1,30.0
Mg1B0.96C0.04,35.5
Mg1B0.85C0.15,24.0
Mg0.75Co0.25B2,34.0
Mg0.94Ir0.06B2,28.1
Ca1Li2,13.0
Mg0.6Ti0.4B2,37.5
Mg0.94Pb0.06B2,35.0
Mg0.8Zr0.2B2,37.3
Li2.6Ti1.7O4,11.4
Mg0.4Ti0.6B2,37.6
N12.8Nb1,16.1
Li1Ti1O4,12.15
Li2.6Ti1.9O4,11.2
Be12Mg1Re1,10.1
Mg0.9Pb0.1B2,34.0
Cs1.2Tl2.4C60,29.5
Rb2.7Tl2.2C60,23.2
Mg0.5Co0.5B2,31.5
Mg0.88Ir0.12B2,18.0
Mg0.854Au0.146B2,25.6
Li2.6Ti2.7O4,10.9
Li1.1Ti1.9O4,10.05
Li1.08Ti1.92O4,11.8
Li1.07Ti1.93O4,11.05
Li1.05Ti1.95O4,11.25
Li1.04Ti1.96O4,12.1
Li1.035Ti1.965O4,11.75
Li1Ti2O4,11.87272727
Li0.98Mg0.02Ti2O4,11.9
Li1Ti1.91Cu0.09O4,14.4
Cs3Hg3.3C60,29.0
Sm1Ba-1Cu3O6.94,86.3
Li0.8Fe1.2Se0.23S0.77H1O1,11.0
Mg0.764Au0.236B2,24.5
Li0.8Fe1.2Se0.34S0.66H1O1,18.4
Li0.8Fe1.2Se0.47S0.53H1O1,24.2
Li0.5Ti1N1Cl1,16.5
Zr0.12N1Cl1,12.7
C1Ca3Cu2O7.1,47.0
Li0.8Fe1.2Se0.59S0.41H1O1,32.0
Li0.8Fe1.2Se0.72S0.28H1O1,35.0
Cu0.25C0.75Ca3Cu2O6.85,47.0
Li0.8Fe1.2Se0.78S0.22H1O1,35.6
Na0.5Ti1N1Cl1,16.3
Li0.8Fe1.2Se0.84S0.16H1O1,38.6
Ca4Al2Fe2P2O6,17.1
Ca4Al2Fe2P2O5.8,17.0
Ca3Al2Fe2P2O5,16.6
Cu0.5C0.5Ca3Cu2O6.6,57.0
B2.6Nb1,10.9
Li0.84H1Fe1.14Se1O1,42.0
Na0.16Ti1N1Cl1,14.0
Sr1.3K0.7Cu1C1O5,20.0
Li0.8Fe1.2Se1H1O1,40.45
B5Mo1.69Zr0.31,11.2
Sr1.4K0.6Cu1C1O5,21.0
Sr1.5K0.5Cu1C1O5,20.0
Fe2As2Ca4Sc2Ti3O13,36.0
Fe2As2Ca6Al1.32Ti2.68O12,36.0
Li1.3Zr1N1Cl1,11.0
Sc0.9Y0.1Ni2B2C1,15.1
K0.5Ti1N1Cl1,16.15
Si10.9V3B0.1,15.8
Si10.9V3C0.1,16.4
Si10.9V3Al0.1,14.05
Sr1.6K0.4Cu1C1O5,23.0
Ca1.702Cu0.851Cl1.851Na0.149O2.404,15.0
S1,13.0
N0.9Nb0.114Ti0.886,10.1
Cu0.5S0.5Sr2Ca2Cu3O12,100.0
Sc0.8Y0.2Ni2B2C1,14.8
Sr1.7K0.3Cu1C1O5,16.0
Ca1.737Cu0.868Cl1.868Na0.132O2.263,21.0
Fe2As2Ca6Al1Ti3O11,32.0
Sr1.75K0.25Cu1C1O5,13.0
Ba0.6K0.4O3,30.7
C0.7N0.3Sr2Cu1O5.55,31.0
Fe2As2Ca5Al1.5Ti1.5O9,15.0
Ca1.5Na0.5Cu1Cl2O2,28.5
C0.8N0.2Sr2Cu1O5.45,31.0
C0.7N0.3Sr2Cu1O5.45,31.0
Al1Sr2Ca2Cu3O10.1,76.0
Sc0.7Y0.3Ni2B2C1,14.5
B1Sr2Ca4Cu5O13,85.0
Ca1.808Cu0.904Cl1.904Na0.096O2.192,26.0
B1Sr2Ca3Cu4O11,110.0
Ca0.75K0.25Cu1Cl2O2,24.0
C0.9N0.1Sr2Cu1O5.35,13.0
B1Sr2Ca2Cu3O9,75.0
C0.8N0.2Sr2Cu1O5.35,31.0
Ca0.85K0.15Cu1Cl2O2,24.0
C0.7N0.3Sr2Cu1O5.35,35.0
Ca1.6Na0.4Cu1Cl2O2,27.8
Al1Sr2Ca2Cu3O9.9,77.0
Fe2As2Ca5Mg0.8Ti3.2O9.8,39.0
Fe2As2Ca5Sc2Ti2O10.5,33.0
Y1Cu2.97Zn0.03O7,81.5
C0.8N0.2Sr2Cu1O5.3,33.0
Y1Cu2.98Zn0.02O7,84.5
Fe2As2Ca5Mg1Ti3O9.5,36.0
Y1Cu2.99Zn0.01O7,86.6
Ca1.65Na0.35Cu1Cl2O2,28.0
Al1Sr2Ca2Cu3O9.7,72.0
Ca1.7Na0.3Cu1Cl2O2,27.6
Ca1.883Cu0.941Cl1.941Na0.059O2.117,26.0
Ca1.75Na0.25Cu1Cl2O2,26.5
Al1Sr2Ca2Cu3O9.5,69.0
Ca1.76Na0.24Cu1Cl2O2,26.9
Fe2As2Ca5Sc2Ti2O10,36.0
Sr1Ca13Cu24O41,11.8
Ca1.8Na0.2Cu1Cl2O2,26.95
Li1Zr1N1Cl1,14.4
Ca1.81Na0.19Cu1Cl2O2,27.7
Sr2Cu1C0.85B0.15O5,32.0
Sr2Cu1C0.86B0.14O5,31.0
Sr2Cu1C0.91B0.09O5,26.5
Ca1.82Na0.18Cu1Cl2O2,27.055
Sr2Cu1C0.92B0.08O5,25.0
Sr2Cu1C0.93B0.07O5,23.0
Sr2Cu1C0.94B0.06O5,21.0
Sr2Cu1C0.95B0.05O5,12.5
Ca1.825Na0.175Cu1Cl2O2,26.0
Al1Sr2Ca2Cu3O9.3,63.0
Li0.3Ti1.1S2,13.0
Ca1.84Na0.16Cu1Cl2O2,19.7
Ca1.843Na0.157Cu1Cl2O2,25.0
Ca1.85Na0.15Cu1Cl2O2,24.225
Ca1.867Na0.133Cu1Cl2O2,20.0
Sr2Ca3Cu4F3.8O8,95.0
Sr2Cu1C0.82B0.12O5,30.0
Ca1.89Na0.11Cu1Cl2O2,15.14
Ca1.8Cu1Cl2O2,41.0
Li0.95Zr1N1Cl1,13.4
Ca1.85Cu1Cl2O2,30.0
Y0.9Ba0.1Cu1O4,81.0
Ca1.9Cu1Cl2O2,15.0
Ca1.7K0.3Cu1Cl2O2,24.0
Ca1.8K0.2Cu1Cl2O2,24.0
Nb0.25Ti0.75N0.98,10.5
Ca1.9K0.1Cu1Cl2O2,18.0
Ca2Cu1Cl2.4O2,38.0
Ca4Al2Fe2As2O6,28.2
Ca2Cu1Cl2.18O2,24.0
Ca2Cu1Cl2.2O2,30.0
Ca2Cu1Cl2.25O2,31.0
Ca2Cu1Cl2.3O2,36.0
Ca2Cu1Cl2.5O2,38.0
Cu6.5Sr2Ca5Cr0.5O15.17,32.0
Fe2As2Ca4Mg0.75Ti2.25O7.5,42.5
Sr2Ca4Cu5F2O10.57,40.0
Ca4Al2Fe2As2O5.785,27.0
Ca8Mg1.5Ti4.5Fe2As2O9.5,40.0
Cu5.5Sr2Ca4Cr0.5O13.35,65.0
V0.5Sr2.3Ca4.7Cu6.5O15.5,75.0
Li0.8Fe1.2H1Se1,34.0
Sr2Ca2Cu3F3.2O6.2,111.0
Y1.4Ti0.6C3,12.9
C1.5Ti0.3Y0.7,12.9
Sr2Ca3Cu4F2O8.8,72.0
Ca4Al2Fe2As2O5.65,26.8
Sr15.9Ca7.6Cu17.6C3.3B2.6O53,105.0
V0.5Sr2.6Ca5.4Cu7.5O17.3,73.0
Cu1Cr1O2,132.0
Cu4.5Sr2Ca3Cr0.5O11.45,71.0
Cu1Cr0.95Fe0.05O2,117.5
Sr2Ca3Cu4F2O8.6,38.0
Cu1Cr0.9Fe0.1O2,98.0
V0.5Sr2.4Ca3.6Cu5.5O13.55,75.0
Cu0.5P0.5Sr2Ca2Cu3O9.25,82.0
Cu0.5P0.5Sr2Ca1.9Y0.1Cu3O9.4,84.0
Fe2As2Ca4Al1.34Ti0.66O6,12.5
Cu0.5P0.5Sr2Ca1.8Y0.2Cu3O9.55,80.0
Fe2As2Ca4Sc2.01Ti0.99O7.5,31.0
Cu0.5P0.5Sr2Ca1.9Y0.1Cu3O9.3,84.0
Cu0.5C0.5Sr2Ca1Cu5O10.8,41.0
Ca3Al2Fe2As2O5,30.2
Cu3.5Sr2Ca2Cr0.5O9.55,103.0
