formula,target
Ge1Nb1Mn,False
In1Er1Ni,False
Sn1Hg1Yb,False
Eu1As1Cu,False
Zn1Tl1Er,False
Rh1Mn1Si,False
Ag1As1Eu,False
Rh1Yb1In,False
La1Ga1Zn,False
Mg1Bi1Ni,True
Mn1Si1Pr,False
Y1Mg1Pd,False
Au1Rb1O,False
Au1Gd1Tb,False
Pd1Zn1Yb,False
Yb1F1Cl,False
Yb1Rh1Sn,False
Ce1Zn1In,False
Ni1P1Ho,False
Ru1Ce1Si,False
Pd1Tl1Pr,False
Ge1Sr1Mg,False
As1Te1Cu,False
Pb1Cu1Sm,False
Pd1Ge1Eu,False
Tm1Zn1Pd,False
Sn1Gd1Ni,False
Yb1O1F,False
Dy1Sn1Pd,False
Ag1Y1Mg,False
Au1Hf1Ga,False
Mn1Si1Hf,False
Nd1Co1Ge,False
Tl1Pr1Pd,False
Ho1Si1Fe,False
Ge1Ba1Zn,False
Pb1Cu1La,False
Gd1Ge1Zn,False
Ge1Gd1Sc,False
La1Ag1Mg,False
Si1La1Cu,False
Os1P1S,False
Cu1Eu1P,False
In1Tb1Cu,False
Sc1Ta1N,False
Ge1Tm1Ag,False
Sm1Si1Ru,False
La1Ni1Sn,False
Sb1Sn1K,False
Co1Si1Tm,False
Sn1Rh1La,False
Pd1Er1Ge,False
Al1Sr1Si,False
Si1Ir1La,False
Co1P1Pd,False
Zn1Eu1Sn,False
S1As1Tb,False
S1Lu1F,False
Zn1P1Li,True
O1F1Y,False
Zn1Dy1Ni,False
Ag1Sr1Bi,False
Ir1Li1B,False
Dy1Zr1Sb,False
Er1Pt1Zn,False
Zr1Sb1Pd,False
Pt1Se1Bi,False
Ce1Sb1Te,False
Ca1Pb1Zn,False
Er1Sn1Au,True
Ho1Pt1Sn,False
Cu1Ge1Zr,False
Ge1Pt1Dy,False
Gd1Ir1Si,False
Rh1Si1Ho,False
S1Na1Cs,False
Ge1Sm1Rh,False
P1Mo1Rh,False
Fe1As1Ta,False
Ti1Ni1As,False
Ge1La1Au,False
Si1Nd1Fe,False
Ce1Sn1Ni,False
Sb1Os1Te,False
Gd1Ge1Pt,False
Sb1Li1Mn,False
Rh1Pr1Ge,False
Al1Zn1Tm,False
Cu1Cd1Gd,False
Ge1Ti1Lu,False
Zr1Si1Ni,False
Sb1Te1Nd,False
Gd1Zr1Sb,False
Pb1Gd1Ag,False
As1Pt1Yb,False
Sr1P1Ir,False
Hg1Pb1Eu,False
Sb1S1Os,False
Ge1Ru1Sc,False
Na1N1Sn,False
Ba1Ge1Ca,False
Pd1Lu1Al,False
Si1Yb1Mn,False
Au1Er1In,False
Ni1Sn1Sc,False
As1V1Rh,False
Pt1Zn1Sc,False
Ta1P1S,False
Sc1Ru1P,False
Cd1Eu1Pb,False
Mg1Ga1Y,False
Nd1F1O,False
Ba1Ge1Al,False
Sn1Pt1Er,False
Co1Dy1C,False
Zr1P1V,False
I1O1La,False
Ge1Hf1Ru,False
Rh1Zr1P,False
Yb1Si1Au,False
Pt1Ga1Yb,False
Ga1Co1Ho,False
Yb1Ag1Bi,False
Ru1Er1Si,False
Au1Yb1Si,False
Tm1Al1Cu,False
Ge1Mn1Gd,False
Ho1Pt1Si,False
Os1Ge1Hf,False
Si1Tb1Ti,False
P1S1Ta,False
S1Y1As,False
Ni1P1Nb,False
Ge1Lu1Rh,False
Ti1Os1P,False
S1Nd1F,False
P1Pt1Dy,False
Nb1Si1Sb,False
Br1O1Sc,False
Li1Sn1Er,False
Ga1N1Ca,False
Ca1Pt1Ge,False
Zr1Sb1Tm,False
F1Gd1S,False
Zn1Y1Al,False
Eu1Bi1Ag,False
Y1In1Rh,False
S1P1Nd,False
N1O1F,False
Se1K1Au,False
F1S1Y,False
Co1P1Mn,False
Ag1Ge1Tb,False
Al1Er1Cu,False
S1Tb1P,False
As1Gd1S,False
Tb1Sb1Ni,True
Zn1Tb1Sn,False
Fe1Si1Tb,False
Er1Cu1In,False
Ni1B1Ta,False
Er1Ge1Rh,False
Hf1P1Os,False
Sb1Sr1Ag,False
Br1O1Pr,False
Lu1O1Br,False
Tl1La1Zn,False
S1Cu1As,False
Cd1Pd1Gd,False
Lu1Au1Ge,False
Zn1Gd1Al,False
Ru1As1Hf,False
Mn1Ta1P,False
O1Ag1K,False
Mn1Al1Pt,False
Si1Ce1I,False
Te1Bi1I,False
Dy1Si1Ag,False
P1S1Y,False
Si1Zn1Sr,False
Pd1Gd1Pb,False
K1Sn1Sb,False
Pd1Ni1Ge,False
Ce1Sn1Pt,False
Nd1Pt1Mg,False
Ni1Ga1Pr,False
K1Mg1P,False
Eu1As1Pd,False
Cu1Pb1Tb,False
Ag1La1Mg,False
Ce1Bi1Pd,True
Al1Pd1Y,False
Yb1P1Pt,False
Ag1S1Cu,False
Sr1In1Pd,False
Gd1Cl1O,False
Mn1Rb1Sb,False
Mn1Sn1Au,True
Pt1Tm1As,False
Gd1Ni1Sn,False
Sm1Au1Ge,False
Pb1Sm1Ag,False
P1Tm1Pt,False
I1N1C,False
Y1Li1Si,False
Dy1Ge1Pd,False
Pr1Mg1Pt,False
Ce1Pd1P,False
Se1Au1Cs,False
Sc1Sn1Cu,False
Cu1Dy1Si,False
Sb1Pt1Mn,True
Na1Ag1O,False
Ga1Tm1Zn,False
Ni1Sm1Zn,False
