formula,target
B0.815 Si0.06 Fe0.125 ,2.0
B0.55 C0.16 Ni0.29 ,1.0
Mg0.935 Mn0.04 Y0.025 ,2.0
Mg0.955 Mn0.02 Y0.025 ,2.0
Mg0.975 Nd0.025 ,2.0
Mg0.9 Al0.08 Ga0.02 ,2.0
Mg0.89 Al0.08 Ga0.03 ,2.0
Mg0.89 Al0.09 Ga0.02 ,2.0
B0.5 C0.2 Ni0.3 ,1.0
Mg0.925 Ca0.075 ,2.0
Mg0.95 Mn0.05 ,2.0
B0.55 C0.12 Ni0.33 ,1.0
Mg0.915 Mn0.06 Y0.025 ,1.0
Mg0.9 Ca0.1 ,2.0
Mg0.89 Ca0.11 ,2.0
Mg0.95 Zn0.05 ,2.0
Mg0.9 Al0.05 Zn0.05 ,2.0
Mg0.925 Mn0.075 ,2.0
Be0.5 Ti0.5 ,2.0
Mg0.7 Al0.2 Ca0.1 ,1.0
Mg0.85 Al0.1 Zn0.05 ,2.0
Al0.92 Co0.04 Ni0.04 ,2.0
Al0.94 Co0.02 Ce0.04 ,2.0
Al0.95 Co0.03 Ce0.02 ,2.0
Al0.958 Ti0.035 Ni0.006999999999999999 ,2.0
Al0.96 Co0.02 Ni0.02 ,2.0
Al0.971 Ti0.029 ,2.0
Al0.98 Co0.02 ,2.0
Al0.989 Ti0.011 ,2.0
Al1.0 ,2.0
B0.46 C0.2 Ni0.34 ,1.0
Mg0.8 Al0.15 Zn0.05 ,2.0
Mg0.895 Mn0.08 Y0.025 ,2.0
Mg0.9 Ca0.05 Cu0.05 ,2.0
Al0.71 Si0.25 Co0.04 ,1.0
Mg0.9 Ca0.05 Zn0.05 ,2.0
Mg0.9 Mn0.1 ,2.0
Mg0.875 Mn0.1 Y0.025 ,2.0
Mg0.95 Y0.05 ,2.0
Mg0.93 Mn0.02 Y0.05 ,2.0
Mg0.91 Mn0.04 Y0.05 ,1.0
Mg0.875 Ca0.075 Cu0.05 ,1.0
Be0.45 Si0.05 Ti0.5 ,2.0
Mg0.875 Ca0.075 Zn0.05 ,2.0
Al0.925 Ca0.075 ,2.0
Al0.941 Ti0.059 ,2.0
Al0.9 Ca0.075 Fe0.025 ,1.0
Al0.93 Cr0.05 Ce0.02 ,2.0
B0.55 C0.08 Ni0.37 ,1.0
Mg0.9 Ni0.1 ,1.0
Al0.9 Si0.05 Cr0.05 ,2.0
Al0.93 Mn0.05 Ce0.02 ,2.0
Al0.91 Ca0.09 ,1.0
Mg0.05 Al0.85 Ca0.1 ,1.0
Al0.85 Si0.1 Cr0.05 ,2.0
Al0.94 Cr0.06 ,2.0
Al0.925 Ca0.025 Fe0.05 ,2.0
Al0.92 Fe0.05 Ni0.03 ,2.0
Mg0.85 Ca0.1 Zn0.05 ,1.0
Al0.8 Si0.15 Cr0.05 ,2.0
Al0.9 Ca0.1 ,1.0
Mg0.9 Cu0.1 ,2.0
Mg0.89 Cu0.1 Y0.01 ,2.0
Al0.875 Ca0.1 Fe0.025 ,2.0
Al0.94 Mn0.06 ,2.0
Al0.92 Mn0.06 Co0.02 ,2.0
Al0.75 Si0.2 Cr0.05 ,2.0
Al0.9 Mn0.06 Co0.04 ,2.0
Al0.925 Ca0.025 Ni0.05 ,2.0
Al0.89 Ca0.11 ,1.0
Al0.94 Fe0.06 ,2.0
Al0.92 Fe0.06 Co0.02 ,2.0
Mg0.9 Zn0.1 ,2.0
Al0.7 Si0.25 Cr0.05 ,2.0
Al0.91 Fe0.06 Ni0.03 ,2.0
Al0.9 Fe0.06 Co0.04 ,2.0
Al0.94 Co0.06 ,2.0
Mg0.85 Al0.05 Zn0.1 ,2.0
Al0.7 Si0.25 Mn0.05 ,2.0
Al0.92 Co0.06 Ni0.02 ,2.0
B0.5 C0.12 Ni0.38 ,1.0
B0.59 C0.04 Ni0.37 ,1.0
Al0.9 Co0.06 Ni0.04 ,2.0
Al0.92 Cr0.08 ,2.0
Al0.94 Ni0.06 ,2.0
Al0.6 Si0.35 Cr0.05 ,2.0
Be0.45 Ti0.55 ,2.0
Mg0.8 Al0.1 Zn0.1 ,2.0
Al0.92 Co0.02 Ni0.06 ,2.0
Al0.91 Fe0.03 Ni0.06 ,2.0
Al0.9 Co0.04 Ni0.06 ,2.0
Al0.9 Fe0.07 Ce0.03 ,1.0
Al0.89 Fe0.07 Ni0.04 ,2.0
Mg0.85 Mn0.15 ,2.0
Mg0.75 Al0.15 Zn0.1 ,2.0
Al0.6 Si0.35 Mn0.05 ,2.0
Al0.92 Mn0.08 ,2.0
Al0.9 Mn0.08 Co0.02 ,2.0
Be0.4 Si0.1 Ti0.5 ,2.0
Mg0.7 Al0.2 Zn0.1 ,2.0
Al0.9 Ca0.05 Fe0.05 ,2.0
Al0.88 Mn0.08 Ni0.04 ,2.0
Al0.9 Co0.07 Ce0.03 ,1.0
Al0.92 Fe0.08 ,2.0
Al0.9 Fe0.08 Co0.02 ,2.0
Mg0.905 Mn0.02 Y0.075 ,2.0
Al0.91 Co0.02 Ni0.07 ,2.0
Al0.9 Ni0.07 Nd0.03 ,1.0
Al0.88 Fe0.08 Co0.04 ,2.0
Al0.89 Co0.04 Ni0.07 ,2.0
Mg0.85 Ca0.05 Cu0.1 ,2.0
Al0.9 Ca0.05 Ni0.05 ,2.0
Mg0.6 Al0.3 Zn0.1 ,2.0
Al0.9 Cr0.1 ,2.0
B0.58 C0.04 Ni0.38 ,2.0
Mg0.885 Mn0.04 Y0.075 ,1.0
Al0.85 Si0.07 Fe0.08 ,2.0
Al0.92 Co0.08 ,2.0
Al0.88 Si0.02 Cr0.1 ,2.0
Mg0.89 Mn0.06 Y0.05 ,1.0
Al0.9 Co0.08 Ni0.02 ,2.0
Al0.85 Si0.05 Cr0.1 ,2.0
Mg0.9 Ni0.05 Y0.05 ,2.0
Al0.88 Co0.08 Ni0.04 ,2.0
Al0.875 Ca0.075 Fe0.05 ,1.0
Al0.89 Fe0.09 Ni0.02 ,2.0
Mg0.9 Cu0.05 Y0.05 ,2.0
Mg0.85 Ca0.05 Zn0.1 ,2.0
Mg0.5 Al0.4 Zn0.1 ,2.0
Al0.8 Si0.1 Cr0.1 ,2.0
Al0.92 Ni0.08 ,2.0
Al0.91 Co0.01 Ni0.08 ,2.0
Al0.88 Mn0.1 Ce0.02 ,2.0
Al0.9 Co0.02 Ni0.08 ,2.0
Mg0.85 Zn0.12 Ce0.03 ,1.0
Al0.89 Co0.03 Ni0.08 ,2.0
Al0.75 Si0.15 Cr0.1 ,2.0
Al0.88 Co0.04 Ni0.08 ,1.5
Be0.43 Ti0.57 ,2.0
Al0.875 Ca0.075 Ni0.05 ,1.0
Al0.88 Co0.09 Ni0.03 ,2.0
Mg0.825 Ca0.075 Cu0.1 ,1.0
Mg0.4 Al0.5 Zn0.1 ,2.0
Al0.9 Fe0.1 ,2.0
Al0.7 Si0.2 Cr0.1 ,2.0
Al0.87 Fe0.04 Co0.09 ,2.0
Al0.89 Fe0.1 Ce0.01 ,2.0
Al0.885 Fe0.03 Ni0.085 ,1.0
Al0.88 Cr0.12 ,2.0
Al0.68 Si0.22 Cr0.1 ,1.0
Al0.88 Fe0.1 Ce0.02 ,2.0
Al0.85 Ca0.1 Fe0.05 ,1.0
Al0.65 Si0.25 Cr0.1 ,1.0
Al0.86 Fe0.1 Co0.04 ,2.0
Al0.9 Fe0.01 Ni0.09 ,2.0
Al0.89 Co0.02 Ni0.09 ,2.0
Mg0.87 Mn0.08 Y0.05 ,1.0
Al0.88 Co0.03 Ni0.09 ,1.0
Al0.875 Fe0.035 Ni0.09 ,1.0
Mg0.95 Nd0.05 ,2.0
Al0.85 Ca0.1 Co0.05 ,1.0
Mg0.85 Ni0.15 ,1.0
Mg0.825 Ca0.075 Zn0.1 ,2.0
Be0.4 Si0.05 Ti0.55 ,2.0
