formula,target
Al0.84 Ni0.1 Y0.06 ,18.0
Al0.84 Ni0.1 Ce0.06 ,13.0
Al0.84 Ni0.1 Gd0.06 ,20.0
Al0.336 Ca0.664 ,12.0
Mg0.7142857142857143 Ni0.08241758241758243 Cu0.08241758241758243 Zn0.054945054945054944 Y0.01098901098901099 Ag0.054945054945054944 ,38.0
Al0.84 Ni0.1 Er0.06 ,21.0
Al0.32 Ca0.63 Cu0.05 ,11.0
Mg0.8 Ni0.1 Nd0.1 ,16.766666666666666
Mg0.25 Ca0.65 Cu0.1 ,24.0
Mg0.65 Cu0.25 Y0.1 ,57.45
Mg0.65 Cu0.2 Zn0.05 Y0.1 ,52.0
Mg0.25 Ca0.65 Zn0.1 ,18.0
Mg0.75 Ni0.15 Nd0.1 ,20.133333333333333
Li0.0996 Mg0.08539999999999999 Ca0.65 Zn0.165 ,22.0
Be0.35 Ti0.45 Zr0.2 ,57.0
Mg0.2 Ca0.7 Cu0.1 ,29.0
Mg0.65 Ni0.075 Cu0.075 Zn0.05 Y0.075 Ag0.05 Gd0.025 ,40.0
Mg0.25 Ca0.6 Cu0.15 ,26.0
Mg0.3 Ca0.5 Cu0.2 ,37.0
Mg0.25 Ca0.6 Zn0.15 ,32.0
Mg0.75 Ni0.15 Gd0.1 ,33.0
Mg0.74 Ni0.15 Ag0.01 Gd0.1 ,40.4
Mg0.7 Ni0.2 La0.1 ,28.0
Mg0.2 Ca0.65 Cu0.15 ,19.0
Mg0.73 Ni0.15 Ag0.02 Gd0.1 ,46.4
Mg0.57 Cu0.315 Y0.08 Nd0.035 ,75.0
Mg0.25 Ca0.55 Cu0.2 ,30.0
Mg0.65 Ni0.075 Cu0.075 Zn0.05 Y0.1 Ag0.05 ,35.0
Mg0.71 Ni0.18 La0.11 ,28.0
Mg0.3 Ca0.45 Cu0.25 ,35.0
Mg0.2 Ca0.65 Zn0.15 ,25.0
Mg0.71 Ni0.15 Ag0.04 Gd0.1 ,44.7
Mg0.25 Ca0.55 Zn0.2 ,43.0
Mg0.57 Cu0.315 Y0.092 Nd0.023 ,74.0
Mg0.585 Cu0.305 Y0.11 ,74.0
Mg0.65 Cu0.25 Y0.05 Gd0.05 ,73.0
Mg0.2 Ca0.6 Cu0.2 ,25.0
Mg0.25 Ca0.5 Cu0.25 ,39.0
Mg0.3 Ca0.4 Cu0.3 ,35.0
Mg0.15 Ca0.7 Zn0.15 ,26.0
Be0.3 Ti0.45 Cr0.05 Zr0.2 ,77.0
Mg0.23 Ca0.53 Cu0.24 ,33.0
Mg0.3333333333333333 Ca0.3333333333333333 Cu0.3333333333333333 ,15.0
Mg0.364 Ca0.272 Cu0.364 ,19.0
Mg0.2 Ca0.6 Zn0.2 ,37.0
Mg0.25 Ca0.5 Cu0.1 Zn0.15 ,47.0
Mg0.15 Ca0.65 Cu0.2 ,26.0
Mg0.175 Ca0.625 Zn0.2 ,37.0
Al0.3 Ca0.6 Ag0.1 ,48.0
Mg0.2 Ca0.55 Cu0.25 ,27.0
Mg0.225 Ca0.5 Cu0.275 ,42.0
Mg0.25 Ca0.45 Cu0.3 ,38.0
Mg0.18 Ca0.58 Cu0.24 ,38.0
Mg0.69 Ni0.18 La0.13 ,29.0
Mg0.318 Ca0.318 Cu0.364 ,12.0
B0.2307692307692308 Fe0.6923076923076923 Mo0.038461538461538464 Dy0.038461538461538464 ,75.0
B0.23981949070592026 Fe0.7194584721177608 Mo0.03996991511765338 Dy0.0007521220586655206 ,77.0
B0.2398469062300659 Fe0.7195407186901978 Mo0.03997448437167765 Dy0.0006378907080586858 ,91.0
B0.23987375065754865 Fe0.7196212519726459 Mo0.039978958442924775 Dy0.0005260389268805891 ,89.0
Mg0.364 Ca0.227 Cu0.409 ,20.0
Mg0.15 Ca0.65 Zn0.2 ,34.333333333333336
B0.2398469062300659 Fe0.647586646821178 Co0.07195407186901978 Mo0.03997448437167765 Dy0.0006378907080586858 ,85.0
Mg0.175 Ca0.6 Zn0.225 ,38.0
Mg0.2 Ca0.55 Zn0.25 ,45.0
Mg0.225 Ca0.475 Cu0.3 ,41.0
B0.2398469062300659 Fe0.5756325749521582 Co0.14390814373803956 Mo0.03997448437167765 Dy0.0006378907080586858 ,92.0
B0.24 Si0.015 Ti0.03 Fe0.27 Co0.4 Zr0.03 Mo0.015 ,45.0
Mg0.65 Cu0.25 Pr0.1 ,33.0
B0.2398469062300659 Fe0.5036785030831383 Co0.2158622156070593 Mo0.03997448437167765 Dy0.0006378907080586858 ,84.0
Mg0.1 Ca0.7 Cu0.2 ,22.0
Mg0.6556556556556556 Cu0.25425425425425424 Gd0.09009009009009007 ,46.0
Mg0.15 Ca0.6 Cu0.25 ,32.0
B0.2398469062300659 Fe0.4317244312141186 Co0.2878162874760791 Mo0.03997448437167765 Dy0.0006378907080586858 ,80.0
Mg0.65 Cu0.25 Nd0.1 ,33.0
