formula,target
Li2PbO3,2.31753349098
Ba3NaTaO6,6.41943586969
Sr(AuO2)2,2.6447638532
NaSc(GeO3)2,6.47415836103
TaBiO4,5.5498019186
NO2,4.54675322693
K2Pb2O3,3.49503529792
RbAuO,3.45731067286
Na4I2O,5.45271123845
AlTl(MoO4)2,5.43472566904
SbPO4,6.5206763392
RbBrO3,6.51058871566
La2Sn2O7,4.97511177888
Te2O3F2,5.45030994982
Rb2Li2GeO4,6.8952799914
BiPbClO2,3.83884050743
In6Ge2PtO9,2.22597351446
RbReO4,6.33837640151
Sr3ScRhO6,3.65220135875
Ga4GeO8,4.20670850424
NaBrO3,7.18903642399
Cs2NaAsO4,7.16314051944
NaVCdO4,4.45026466981
Cu2PbO2,2.58967356871
CsTa(BO3)2,5.72972033197
Cs2ZrO3,7.21260084426
YTaO4,6.38442060473
Te6Br2O11,4.23151529316
ZrGeO4,6.54549880655
La2SO2,5.517828383
SrBiClO2,5.70580727326
VPO4,0.225953933215
Sr2I2O,6.09941425698
CoAgO2,1.44786549023
InClO,4.49795771515
Mg2As2O7,5.74659864352
BaMgP2O7,9.37723989885
Mg4Ta2O9,6.82382422646
Zr2P2O9,7.41573532613
Sr2ZnWO6,4.599056308
As2O3,5.93545520455
ZrSO,4.39372742902
LiInO2,3.56719090769
Sr10P6SO24,7.23030518016
RbClO4,9.82045892139
SrHfO3,7.39781051969
GeO2,6.01808662705
SbPbClO2,3.44322790636
K2Zr3OF12,9.30228280403
K2WO4,6.92285565808
K2Cd2O3,2.32340480541
As2PbO6,3.58070529361
Li4TeO5,5.18520462619
LiAg3O2,1.50726648104
BaNb2O6,4.52908704579
Li4PbO4,3.34963677877
Ca(AuO2)2,2.72190551402
NaGeSbO5,4.26264696968
Na2O,5.58602201694
K3Nb3Si2O13,4.04988362085
TaAlO4,6.32321945061
Ba(AuO2)2,2.5196464509
LiBO2,9.20669668849
KLiSO4,9.98741761029
BaTiO3,4.66315039861
K3Sc(PO4)2,7.78023129236
Sr4P2O,2.98982051249
K3AlO3,6.88750885363
GeP2O7,6.46809811857
RbNbO3,5.40334255133
La2TeO2,3.61136798665
K2HgO2,4.56199899694
Al2ZnO4,6.52809622997
Sn2OF2,4.45226586724
KAlAs2O7,6.02124824292
PtO2,1.08860761966
HfTe3O8,6.11531883419
K4Br2O,4.36223350544
NaCoO2,2.38300380353
KLi6BiO6,3.2954611835
MgP4O11,8.88114551718
LiSiBO4,10.4336993152
MgSO4,9.51207126981
