formula,target
Li2B1Pd3,7.61
Ca0.1Ba1.65Nd1.25Cu3O7.03,0.0
Sr1Fe1.7Ni0.3As2,0.0
Co1Te1,0.0
Gd0.65Ca0.2Hf0.15Ba2Cu3O6.96,86.3
Ta25Ti75,6.0
Ba1C6,0.0
La2Cu1O4.093,45.0
Sb0.236V0.764,0.0
C3Ho0.6Th1.4,5.2
Ce1Rh0.35Co0.65In5,1.38
Ho1Rh3Ru1B4,6.35
Pr1.85Sr0.15Cu1O4,0.0
Nd1.5Ba1.3Sr0.2Cu3O6.978,0.0
Tl2Ba2Cu1O6.16,64.9
Pr1.8Ce0.2Cu1O4,3.0
Mg0.5Co0.5B2,31.5
O2Pb1,0.0
Y1Ba2Cu2.745Fe0.255O7.08,53.0
Tl2Ba2Ca1Cu2O7.958,107.0
Y3Dy2Os4Ge10,4.8
Ru8Zr92,3.79
Sr4V3O9.49,0.0
Sr1Fe2As1.22P0.78,27.35
Sr1Fe1.92Ni0.08As2,0.0
Fe1Sr2Gd1Cu2O7.58,36.5
Pb0.6Cu0.4Sr0.8La1.2Cu1O5.06,28.7
Al1B2,0.0
La0.93Nd0.07Pt1Si1,2.29
Hf0.32Ta0.68,6.68
Zr2Co0.85Ni0.15,5.96
Nd0.7Pr0.3Ba2Cu3O6.85,0.0
Y0.985Ca0.015Ba2Cu3O6.98,89.9
Ce2Pd3Ge5,0.0
Th1Pt3B1,0.75
Na0.28O3W1,0.56
La1.9Gd1.1Ca1Ba2.4Sr0.6Cu6.58In0.42O16.554,58.0
Ba1Fe2As1.3P0.7,30.25
Y1Ba2Cu2.9Zn0.1O6.88,4.3
Sm1Rh3B2,0.0
Y1Ba2Cu3O6.61,59.62600000000001
La1Bi1S2F0.5O0.5,4.817058824
Cu1Mo6Se8,5.9
Er1Rh2Ir2B4,6.76
Y1Ba2Cu2.8Zn0.2OY,56.5
B2Nb0.5,7.56
Y2C2Br0.5I1.5,11.6
Bi1.6Sr0.4Yb1Cu3O6.35,37.0
Ag1Zn1,0.0
Bi1,5.867142857
La1Ni1Si1,1.23
Mn1Ni1Zr1,0.0
Mo6Se6Br2,6.7
Tl1Ba0.3Sr0.7La1Cu1O5,30.0
Nb0.7Ru0.3,0.0
Fe0.1Zr0.9,1.0
Ir0.37Nb0.63,2.316666667
Y0.5Pr0.5Ba1Sr1Cu3O6.9,36.0
Pr0.96La1Ce0.04Cu1O4,0.0
Tm1Ni1.9Fe0.1B2C1,6.64
Lu0.4Dy0.6Ni2B2C1,4.3
Mo0.62Re0.38,11.5
Nb3Sn0.9In0.1,18.1
Pt1Ta1,1.0
Na0.59Zr1N1Cl1,15.0
La1Pd2As2,0.97
B3Be1.09,0.72
Ga6Gd1,0.0
Y1Ba1.4Sr0.6Cu3O6.8,86.0
Pb2Sr2Y0.5Ca0.5Cu3F0.8115O7.3458,78.0
Pb3Sr2Cu3Cl0.5Br0.5O8,0.0
I4Sn1,1.96
Rh0.005Ti0.995,1.295
Al0.72Nb3.28,6.2
Nb0.9Mg0.1B2,4.5
Y0.9Ca0.1Ba2Cu3O6.98,81.8
Ce1Pd0.75Al3.25,0.0
Cu3Ga1,0.0
Bi0.4Sn0.6,7.34
Y1.8Nb0.2C2.7,10.8
La0.996Gd0.004Al2,1.89
La1Fe0.99975Mn0.00025As1F0.11O0.89,23.8
Ag1S1,0.0
Nb80Ga15Mn5,5.0
Nb25Zr75,8.3
Hf1V2H0.4,8.42
Nb1Se2,6.814619048
Y1.2Th0.8C2.7,16.0
Nb2.25V0.75Au1,3.0
V2.928Re0.072Ga1,10.8
Ir1Nb3,1.4075
Ru1S2,0.0
Ho1Rh0.8Ir3.2B4,1.26
Hg1Ba2Ca2Cu3O8.29,135.0
Mg7Zn3,0.28
Gd1.55Pr0.3Ce0.15Cu1O4,0.0
Be3Cu1,0.0
Pr0.9Sr0.1Fe1As1O1,12.8
Sm1Ba2Cu2.6Zn0.4O6.9,0.0
La2.4Ba3.6Cu6O14.01,39.0
Y0.74Gd0.26Ni2B2C1,5.935
Y0.2Pr0.8Ba1Sr1Cu3O6.95,0.0
Nb25Ti30Zr45,7.7
Ag2F1,0.066
Nb78Ga16Mn6,5.53
B5Nb1.8Th0.2,7.0
Y0.8Ca0.05Pr0.15Ba2Cu3O6.95,82.7
Ag0.7Mo3Se4,5.96
La1.8Sr0.2Cu0.985Ni0.015O4,0.0
Pt5Th3,0.0
Pr1.11Gd0.74Ce0.15Cu1O4,12.5
Y1Ba2Cu2.64Co0.36O7.03,22.0
Y1Ba1Sr1Cu3O6.83,58.5
B6Sm1,0.0
Ce1Co0.925Ni0.075In5,1.69
La3Ca0.9Cd0.1Ba3Cu7O16.611,77.5
La1Ru4Sb12,3.293333333
Zr2Co0.7Cu0.3,4.39
Nb3Sn0.49Ga0.51,16.4
Pb1Ti1S3,0.0
Bi1.5Pb0.5Sr1.7La0.3Cu1O5.993,15.6
Os0.046Re0.954,1.92
Ca0.4La1.25Ba1.35Cu3O6.99,38.0
Tb1Ba2Cu3S1O6,0.0
Bi1.95Sr1.65La0.4Cu1O6.28,32.6
Ho1Pd2P2,0.0
Y1Ba1.9La0.1Cu4O7.8,67.8
Dy1Ba1.97Cu3.06O7,87.1
Mo0.9V0.1C1,13.3
Nd0.74Gd1.11Ce0.15Cu1O4,12.0
Cr0.28Ir0.72,0.83
Ta0.36Ti0.64,7.53
Y0.7Ca0.3Ba2Cu3O6.87,88.7
Pb0.7Hg0.3Sr4Cu2C1O10,68.0
Sc1Rh2Sn1,2.0
Ce1Fe0.74Co0.26As1H1,10.0
Fe0.45Co0.45Al0.1,0.0
Nd1.75Y0.1Ce0.15Cu1O4,21.0
K0.46Ti1N1Br1,16.3
La2Ca1Cu2O6,0.0
Ba1Fe1.98Pt0.02As2,0.0
Nb1S1.06,3.3
V3Si0.5Ga0.5,8.6
Pr1Ni0.79Bi1.98,4.2
Ba0.5K0.5Fe1.7Ni0.3As2,5.1
Mo0.9W0.1C1,11.7
La1Fe0.95Ir0.05As1O1,7.18
As0.4Fe0.6,0.0
La1.845Nd0.04Sr0.115Cu1O4,28.5
Y0.8Ca0.2Ba1.5La0.5Cu3O7.13,73.0
Y1Ba1.3Sr0.7Cu3O6.98,84.5
Mn0.33Ni0.67U6,1.6
Gd0.32Pr1.53Ce0.15Cu1O4,13.6
Bi1.2Pb0.8Sr2Ca1Cu2O8,93.0
Sm1Fe0.99Mn0.01As1F0.12O0.88,41.45
La1Fe1As0.1P0.9O1,5.96
Nb2Pd1S3Se2,1.17
Nb0.7Ti0.3,10.1
Pb0.6Cu0.4Sr1.1La0.9Cu1O5.07,33.9
La0.5Y0.5Fe1As1O0.6,39.3
Y1Ba2Cu3.76Ni0.24O8,0.0
Tb1Fe1As1O0.9,22.8
La0.65Pr1.2Sr0.15Cu1O4,31.4
Ge0.3Cu0.7Sr2Ca2.9Y0.1Cu4O11.1,89.0
Nd1.48Y0.37Ce0.15Cu1O4,0.0
Gd1Ba2Cu3O6.758,92.0
Nb0.2V0.8,4.03
Zn0.035Zr1N1Br1,14.0
Y1Ba2Cu3O6.29,21.9
Ca0.86Sr0.14Cu1F0.2O1.8,0.0
Nb1Os0.42Pt2.58,0.0
La1.8Sr0.15Na0.05Cu1O4,37.0
In0.017Sn0.983,3.625
La1Fe1As0.6P0.4O1,4.3825
Pr0.8La1Ce0.2Cu1O4,15.6
Ba0.525K0.475Bi1O2.917,25.9
Ir2Zr1,4.1
Nd1Bi1S2F0.29O0.71,5.2
Rh0.91Ti0.04Y0.05,1.4
La1Ni1Bi1O1,5.5
Ba1Ir2P2,2.1
Hg0.85Re0.15Ba2Cu1O4.53,96.3
Y1Ba2Cu3.996Ni0.004O8,78.0
Fe0.54Co0.36Al0.1,0.0
Hg0.8W0.2Ba2Cu1O4.4,45.0
Fe1Se0.779Te0.041,8.12
Dy1Ni0.74Bi1.78,4.2
Ce1Pt4Ge12,0.0
Cu1.6Mo6S8,11.3
La1.795Sr0.205Cu0.995Ni0.005O4,0.0
Pd3Te1,0.76
La0.908Tm0.092Sn3,4.18
Bi2Sr2Ca0.5Pr0.5Cu2O8.329,5.1
Y1Pt1.5Au0.6B2.4C1.2,5.8
Au1.8Pd0.2In1Y1,2.27
Ba1.6Sr0.4Yb1Cu3O5.97,0.0
Sr2Cu1C0.93B0.07O5,23.0
Cr34.9Ga25V40.1,5.48
Nd1Fe1As1F0.18O0.82,49.66666667
Pt0.73W0.27,0.213
V2.94La0.06Si1,15.92
Bi0.066Mo0.264Cu2.67Sr2Y1O7.32,31.0
Y0.6Ca0.4Ba1.2La0.8Cu3O7.15,67.0
Fe1Se0.656Te0.164,10.7
La1.725Nd0.15Sr0.125Cu1O4,12.5
Cu1Ti1,0.0
Tl2Ba2Ca2Cu3O9.841,110.0
Cu1Th2,3.465
