formula,target
Gd0.65Ca0.2Hf0.15Ba2Cu3O6.96,86.3
La2Cu1O4.093,45.0
Tl2Ba2Cu1O6.16,64.9
Mg0.5Co0.5B2,31.5
Y1Ba2Cu2.745Fe0.255O7.08,53.0
Tl2Ba2Ca1Cu2O7.958,107.0
Sr1Fe2As1.22P0.78,27.35
Fe1Sr2Gd1Cu2O7.58,36.5
Pb0.6Cu0.4Sr0.8La1.2Cu1O5.06,28.7
Y0.985Ca0.015Ba2Cu3O6.98,89.9
La1.9Gd1.1Ca1Ba2.4Sr0.6Cu6.58In0.42O16.554,58.0
Ba1Fe2As1.3P0.7,30.25
Y1Ba2Cu3O6.61,59.62600000000001
Y1Ba2Cu2.8Zn0.2OY,56.5
Y2C2Br0.5I1.5,11.6
Bi1.6Sr0.4Yb1Cu3O6.35,37.0
Tl1Ba0.3Sr0.7La1Cu1O5,30.0
Y0.5Pr0.5Ba1Sr1Cu3O6.9,36.0
Mo0.62Re0.38,11.5
Nb3Sn0.9In0.1,18.1
Na0.59Zr1N1Cl1,15.0
Y1Ba1.4Sr0.6Cu3O6.8,86.0
Pb2Sr2Y0.5Ca0.5Cu3F0.8115O7.3458,78.0
Y0.9Ca0.1Ba2Cu3O6.98,81.8
Y1.8Nb0.2C2.7,10.8
La1Fe0.99975Mn0.00025As1F0.11O0.89,23.8
Y1.2Th0.8C2.7,16.0
V2.928Re0.072Ga1,10.8
Hg1Ba2Ca2Cu3O8.29,135.0
Pr0.9Sr0.1Fe1As1O1,12.8
La2.4Ba3.6Cu6O14.01,39.0
Y0.8Ca0.05Pr0.15Ba2Cu3O6.95,82.7
Pr1.11Gd0.74Ce0.15Cu1O4,12.5
Y1Ba2Cu2.64Co0.36O7.03,22.0
Y1Ba1Sr1Cu3O6.83,58.5
La3Ca0.9Cd0.1Ba3Cu7O16.611,77.5
Nb3Sn0.49Ga0.51,16.4
Bi1.5Pb0.5Sr1.7La0.3Cu1O5.993,15.6
Ca0.4La1.25Ba1.35Cu3O6.99,38.0
Bi1.95Sr1.65La0.4Cu1O6.28,32.6
Y1Ba1.9La0.1Cu4O7.8,67.8
Dy1Ba1.97Cu3.06O7,87.1
Mo0.9V0.1C1,13.3
Nd0.74Gd1.11Ce0.15Cu1O4,12.0
Y0.7Ca0.3Ba2Cu3O6.87,88.7
Pb0.7Hg0.3Sr4Cu2C1O10,68.0
Nd1.75Y0.1Ce0.15Cu1O4,21.0
K0.46Ti1N1Br1,16.3
Mo0.9W0.1C1,11.7
La1.845Nd0.04Sr0.115Cu1O4,28.5
Y0.8Ca0.2Ba1.5La0.5Cu3O7.13,73.0
Y1Ba1.3Sr0.7Cu3O6.98,84.5
Gd0.32Pr1.53Ce0.15Cu1O4,13.6
Bi1.2Pb0.8Sr2Ca1Cu2O8,93.0
Sm1Fe0.99Mn0.01As1F0.12O0.88,41.45
Nb0.7Ti0.3,10.1
Pb0.6Cu0.4Sr1.1La0.9Cu1O5.07,33.9
La0.5Y0.5Fe1As1O0.6,39.3
Tb1Fe1As1O0.9,22.8
La0.65Pr1.2Sr0.15Cu1O4,31.4
Ge0.3Cu0.7Sr2Ca2.9Y0.1Cu4O11.1,89.0
Gd1Ba2Cu3O6.758,92.0
Zn0.035Zr1N1Br1,14.0
Y1Ba2Cu3O6.29,21.9
La1.8Sr0.15Na0.05Cu1O4,37.0
Pr0.8La1Ce0.2Cu1O4,15.6
Ba0.525K0.475Bi1O2.917,25.9
Hg0.85Re0.15Ba2Cu1O4.53,96.3
Y1Ba2Cu3.996Ni0.004O8,78.0
Hg0.8W0.2Ba2Cu1O4.4,45.0
Cu1.6Mo6S8,11.3
Sr2Cu1C0.93B0.07O5,23.0
Nd1Fe1As1F0.18O0.82,49.66666667
V2.94La0.06Si1,15.92
Bi0.066Mo0.264Cu2.67Sr2Y1O7.32,31.0
Y0.6Ca0.4Ba1.2La0.8Cu3O7.15,67.0
Fe1Se0.656Te0.164,10.7
La1.725Nd0.15Sr0.125Cu1O4,12.5
Tl2Ba2Ca2Cu3O9.841,110.0
La1.85Sr0.15Cu0.95Li0.05O4,27.2
Bi1.4Pb0.6Sr2Ca1.7Ga0.3Cu3O7,67.4
K0.77Zr1N1Cl1,13.5
Ca0.4Nd0.6Fe1As1F1,54.0
Sr0.6Ca0.333Cu1O2.2,98.0
Sr1Fe2As1.4P0.6,28.93333333
Ba1Fe1.857Co0.13Mn0.013As2,18.0
Bi1.4Pb0.6Sr2Ca2Cu3O7,108.5
La1.72Nd0.1Ba0.18Cu1O4,19.8
Mo0.95Zr0.05C1,13.2
Y0.75Ca0.25Ba2Cu3O6.008,34.85
C0.4Mo0.6,10.1
Mo0.8Hf0.2C1,11.4
Nb50Zr40Hf10,10.1
Y1Sr2Cu2.85Re0.15O6.95,43.1
Al0.5Nb3Sn0.5,15.9
Y1La0.2Ba1.8Cu3O7.36,89.1
Y0.8Ca0.2Ba2Cu3O6.7,76.7
Nb0.25Sn0.25Ta0.5,10.8
Y1Ba2Cu3.925Zn0.075O8,25.0
Y1.8Ti0.2C3.1,14.5
La2Cu1O4.012,32.0
La1.847Sr0.153Cu1O4,39.25
Y1Ba1.36Sr0.64Cu4O8,81.0
Nd1.85Th0.15Cu1O4,22.5
Er1Ba2Cu2.78Zn0.18Fe0.03O6.93,46.0
La1.913Sr0.087Cu1O4,25.0
La1Fe1As1H0.6O0.6,35.0
Pr1.85Ce0.15Cu0.97V0.03O3.98,21.2
Fe1Se0.82Cl0.18,10.5
Tl1Sr2Ca0.2Y0.8Cu2O6.97,93.0
Y0.2Yb0.8Ba2Cu3O6.91,91.4
Sr2Cu1F2O2,44.33333333
La1Ba1.5Sr0.5Cu3O6.948,57.1
Nb2Ta0.5V0.5Sn1,12.2
Y0.85Ca0.15Ba2Cu4O8,88.9
Hg1.4Tl0.6Ba2Y0.5Ca0.5Cu2O7.74,84.0
La1.5Pr0.5Ca1Ba2Cu5O11.782,57.7
Lu0.8Pr0.2Ba2Cu3O7,86.8
Y0.9Pr0.1Ba2Cu3O6.82,82.0
