formula,target
Li2Be1H4,False
Li1Be1H3,False
H4Si1,True
Li0.9Mg0.1,True
Be0.95Pt0.005,False
Be0.957Re0.043,False
Be0.96Ni0.04,False
Be0.977Fe0.023,False
Be0.98Re0.02,False
Be0.99Re0.01,False
Be1,False
Be9.8Re0.02,False
Be13Mg1,False
Al1Be13,False
B12Li2.5,False
B2Be1,False
B2.75Be1,False
B3Be1.09,False
B12Li1.7,False
Li0.78B1C1,False
Be49Rh1,False
Al0.1Be0.9,False
C2Li1,False
B1,False
B105,False
Be0.95Fe0.05,False
Be13Ca1,False
C22H14K2.9,False
Be22Ga1,False
B4C1,False
Li0.25B1C1,False
Be0.944Co0.056,False
C22H14K3.3,True
Be13Mn1,False
Be12Cr1,False
Be0.934Ni0.066,False
Be12Mn1,False
Be22Mo1,False
Be22Tc1,False
Be22Ru1,False
Be12Co1,False
Be22Rh1,False
Be22Pd1,False
Mg0.5Li0.5B2,False
Be11Fe1,False
C14H10Sr1.5,False
Be13Ga1,False
B2.8C97.2,False
Be0.95Ru0.05,False
Be0.92Cu0.08,False
Be13Ge1,False
Na4H4C60,True
Li2Na1N1C60,True
B0.048C0.952,False
B0.015C0.985,True
C,False
C70,False
B1N1,False
N4H12Na2Cs1C60,True
Be0.95Rh0.05,False
Na1N1C60,True
Be16Zr1,False
Mg1.9Cu0.1B12,True
Be22Mo0.6Re0.4,False
B12Sc1,False
Mg1.8Cu0.2B12,True
Na3N1C60,True
N1H3Na1K2C60,False
Na3.5N0.5C60,True
N0.87H2.61Na1K2C60,True
N0.85H2.55Na1K2C60,False
N0.84H2.52Na1K2C60,True
N0.75H2.25Na1K2C60,True
Be8Mn1,False
Na2K1C60,False
K3N1H3C60,True
N1H3K3C60,False
Be0.9Ni0.1,False
B2Mg0.5,True
Mg0.7Li0.3B2,True
Be13Y1,False
N0.72H2.16Na1K3C60,True
Be22Mo0.4Re0.6,False
C24K1,False
Mg0.7Be0.3B2,True
Be13Zr1,False
Mg0.75Li0.25B2,True
B2Mg0.6,True
K3C60,False
Na2Rb1C60,False
Be22Mo0.3Re0.7,False
C22H14Rb3.1,False
Li2Cs1C60,True
Al0.3Be0.7,False
Be13Mo1,False
Na2Rb0.75Cs0.25C60,False
C60P2F12,False
Mg0.55Al0.225Li0.225B2,True
Mg0.8Li0.2B2,True
Na2Cs0.75C60,False
Be0.89Cu0.11,False
Rb3C60C60,True
C16K1,False
K2.75Ba0.25C60,True
Na2Rb0.5Cs0.5C60,False
Mg0.6Li0.2Al0.2B2,False
N0.93H2.79Na1Rb2C60,False
B2Mg0.7,True
N0.9H2.7Na1Rb2C60,True
N0.86H2.58Na1Rb2C60,True
N0.8H2.4Na1Rb2C60,True
Na2Cs0.88C60,False
Be12Nb1,False
Be13Ru1,False
N0.74H2.22Na1Rb2C60,True
Na2Rb0.25Cs0.75C60,False
Mg0.65Al0.175Li0.175B2,True
Na2Cs0.93C60,False
Mg0.85Li0.15B2,True
K2Rb1C60,True
N1H3K1Rb2C60,False
Be12Mo1,False
Be13Rh1,False
Mg0.7Li0.15Al0.15B2,True
Mg0.7Al0.15Li0.15B2,True
Na2Cs1C60,True
C14H10Ba1.5,False
C8K1H0.67,False
Be13Pd1,False
Be8Ga1,False
B2Mg0.8,True
C60Rb2,True
C0.9S0.1,True
Mg0.89Li0.11B2,True
Mg0.815Al0.024B2,True
Mg0.9Li0.1B2,True
Mg0.89Li0.11B1.88C0.12,True
Be22W1,False
Be22Re0.99Ru0.01,False
Mg0.8Al0.1Li0.1B2,True
C60Ca5,False
Be22Re0.95W0.05,False
Be22Os0.005Re1,False
Be22Re0.95Os0.05,False
Mg0.9Li0.1B1.82C0.18,True
Mg0.92Li0.08B2,True
Mg0.91Li0.09B1.84C0.16,True
Mg0.93Li0.07B2,True
C6Ca1H,False
Be22Os1,False
Mg1B1.4Be0.6,False
B6Ca1,False
B0.69Mg0.31,False
B2Mg0.9,True
N1H3Rb3C60,False
Mg0.94Li0.06B1.96C0.04,True
Mg0.95Li0.05B2,True
K1Rb2C60,True
K2Cs1C60,True
Mg0.9Al0.05Li0.05B2,True
Mg1B1.6Be0.4,True
