formula,target
B1Li1C,False
C1Li1B,False
B1C1Li,False
Be1Li1N,False
Li1N1Be,False
Be1N1Li,False
Li1N1C,False
C1Li1N,False
C1N1Li,False
Be1Al1B,True
Li1Mg1N,False
Li1N1Mg,False
Be1Li1P,False
Li1P1Be,False
Mg1N1Li,False
Be1P1Li,False
C1Na1N,False
F1O1N,False
C1N1Na,False
N1Na1C,False
N1O1F,False
F1N1O,False
N1O1Na,False
N1Na1O,False
Na1O1N,False
C1N1Si,True
Li1N1Ca,False
Ca1N1Li,False
Ca1Li1N,False
Na1S1Li,False
Li1S1Na,False
Li1Na1S,False
K1O1Li,False
Li1O1K,False
K1Li1O,False
Li1Al1Si,True
Mg1P1Li,True
C1Cl1N,False
Cl1N1C,False
C1N1Cl,False
C1K1N,False
Cl1O1N,False
K1N1C,False
C1N1K,False
N1O1Cl,False
Cl1N1O,False
N1Ni1Li,False
Li1N1Ni,False
Li1Ni1N,False
Na1Si1Al,False
F1Ti1N,False
Cl1O1Al,False
Li1S1K,False
K1S1Li,False
K1Li1S,False
Na1O1K,False
K1O1Na,False
K1Na1O,False
Al1Si1Na,False
Al1Na1Si,False
O1Sc1F,False
F1O1Sc,False
F1Sc1O,False
F1N1Ti,False
N1Ti1F,False
Al1Cl1O,False
Al1O1Cl,False
Al1Mg1Si,False
Al1Si1Mg,False
Mg1Si1Al,False
Li1Zn1N,True
Li1O1Cu,False
Cu1Li1O,False
Cu1O1Li,False
Be1Li1As,False
As1Be1Li,False
As1Li1Be,False
Li1Mn1P,False
Li1P1Mn,False
Mn1P1Li,False
Fe1Li1P,False
Li1P1Fe,False
Fe1P1Li,False
K1S1Na,False
Na1S1K,False
K1Na1S,False
Ca1Mg1Si,False
Mg1Si1Ca,False
Ca1Si1Mg,False
K1Mg1P,False
Mg1P1K,False
K1P1Mg,False
Cl1F1Ca,False
Ca1Cl1F,False
Ca1F1Cl,False
Cl1Ti1N,False
Cl1N1Ti,False
N1Ti1Cl,False
Ca1Si1Al,False
Cl1O1Ti,False
C1N1Se,False
N1Se1C,False
C1Se1N,False
Al1Ca1Si,False
Al1Si1Ca,False
Cl1Ti1O,False
O1Ti1Cl,False
O1Rb1Li,False
Li1O1Rb,False
Na1Se1Li,False
Li1Se1Na,False
Li1Na1Se,False
Li1Rb1O,False
Cu1O1Na,False
Cu1Na1O,False
Li1Si1Ga,True
Cl1V1O,False
Cl1O1V,False
O1V1Cl,False
Li1Sr1N,False
N1Sr1Li,False
Li1N1Sr,False
As1Be1Na,False
Na1O1Cu,False
Li1Zn1P,True
Zn1P1Li,True
Li1Mg1As,True
Li1Al1Ge,True
As1Na1Be,False
Be1Na1As,False
C1N1Br,False
Br1N1C,False
Br1C1N,False
Cl1Cr1O,False
Cl1O1Cr,False
Cr1O1Cl,False
B1Y1C,False
C1Y1B,False
B1C1Y,False
Mn1P1Na,False
Mn1Na1P,False
Na1P1Mn,False
Cl1Fe1O,False
Fe1O1Cl,False
Cl1O1Fe,False
N1Ni1Ca,False
Ca1N1Ni,False
Ca1Ni1N,False
Si1Y1Li,False
Li1Si1Y,False
Li1Y1Si,False
P1Sr1Li,False
Li1Sr1P,False
Li1P1Sr,False
Li1S1Rb,False
Li1Se1K,False
K1Se1Li,False
K1Li1Se,False
Na1O1Rb,False
Na1Rb1O,False
O1Rb1Na,False
Li1Rb1S,False
K1O1Cu,False
Cu1O1K,False
Na1P1Zn,False
Na1Zn1P,False
As1Na1Mg,False
Mg1Na1As,False
Al1Na1Ge,False
Ge1Na1Al,False
F1O1Y,False
O1Y1F,False
Cu1P1Mg,False
Cu1Mg1P,False
Mg1P1Cu,False
Nb1O1N,False
N1O1Nb,False
Cu1K1O,False
P1Zn1Na,False
As1Mg1Na,False
Al1Ge1Na,False
F1Y1O,False
N1Nb1O,False
P1S1Fe,False
Fe1P1S,False
Fe1S1P,False
Ga1N1Ca,False
Be1Sb1Li,False
Be1Li1Sb,False
Li1Sb1Be,False
Ca1Ga1N,False
Ca1N1Ga,False
Be1Si1Zr,False
Si1Zr1Be,False
Be1Zr1Si,False
Ca1Mn1Si,False
Mn1Si1Ca,False
Ca1Si1Mn,False
K1P1Mn,False
Mn1P1K,False
K1Mn1P,False
P1S1Ni,False
Ni1P1S,False
Ni1S1P,False
Ag1C1N,False
Mn1Si1Sc,False
Sc1Si1Mn,False
Mn1Sc1Si,False
Al1B1Mo,False
Al1Mo1B,False
B1Mo1Al,False
Ag1N1C,False
C1N1Ag,False
Mn1Ti1Si,False
N1Ni1Fe,False
As1Li1Mn,False
Li1Mn1As,False
As1Mn1Li,False
Fe1Si1Sc,False
Sc1Si1Fe,False
Fe1Sc1Si,False
Mn1Si1Ti,False
Si1Ti1Mn,False
P1Ti1Cr,False
Cr1P1Ti,False
Cr1Ti1P,False
Fe1Ni1N,False
Fe1N1Ni,False
As1Fe1Li,False
Fe1Li1As,False
As1Li1Fe,False
Co1Si1Sc,False
Sc1Si1Co,False
Co1Sc1Si,False
Si1Ti1Fe,False
Fe1Si1Ti,False
Fe1Ti1Si,False
O1Zr1Si,False
O1Si1Zr,False
Si1Zr1O,False
As1Co1Li,False
As1Li1Co,False
Co1Li1As,False
Ni1Si1Sc,False
Ni1Sc1Si,False
Sc1Si1Ni,False
Co1Sc1P,False
Co1P1Sc,False
P1Sc1Co,False
Si1Ti1Co,False
Co1Si1Ti,False
Co1Ti1Si,False
Fe1P1Ti,False
P1Ti1Fe,False
Fe1Ti1P,False
Cu1Sc1Si,False
Ca1Zn1Si,False
Ni1Ti1Si,False
Co1V1Si,False
N1Zr1Cl,False
Na1Sr1P,False
P1Sr1Na,False
Na1P1Sr,False
Rb1S1Na,False
Na1S1Rb,False
Na1Rb1S,False
Na1Se1K,False
K1Se1Na,False
K1Na1Se,False
Cu1Si1Sc,False
Sc1Si1Cu,False
Mg1Y1Al,False
Al1Y1Mg,False
Al1Mg1Y,False
Ca1Si1Zn,False
Ca1Cu1P,False
Ca1P1Cu,False
Ca1Mg1Ge,False
Ca1Ge1Mg,False
Si1Zn1Ca,False
Cu1P1Ca,False
Ge1Mg1Ca,False
Ni1Sc1P,False
P1Sc1Ni,False
Ni1P1Sc,False
K1S1Cu,False
